No,Name,Year,G_B,PA,AB,R_B,H_B,2B_B,3B_B,HR_B,TB,RBI,SB,CS,BB_B,HBP_B,IBB_B,SO_B,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR_B,WPA_B,G_P,CG,ShO,GS,W_P,L_P,SV,HLD(HD),IP,R_P,ER,TBF,H_P,2B_P,3B_P,HR_P,BB_P,IBB_P,HBP_P,SO_P,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR_P,WPA_P,Rank,G,W_T,L_T,D,P
1,MBC,1982,952,3061,2686,419,757,124,12,65,1100,381,134,60,268,47,20,316,56,32,27,0.282,0.354,0.41,0.764,0.346,109.5,19.33,,186,19,8,79,46,33,15,0,708,350,276,2994,660,,,52,259,10,47,392,10,27,3.51,3.52,1.3,113,112.6,16.09,,3,80,46,34,0,0.575
2,삼성,1982,887,3043,2647,429,705,126,18,57,1038,374,147,42,307,30,2,349,50,36,18,0.266,0.347,0.392,0.739,0.338,104.3,18.61,,152,23,8,79,53,26,17,0,704.1,257,211,2830,617,,,57,187,6,30,305,3,10,2.7,3.5,1.14,147.1,113.2,21.11,,2,80,54,26,0,0.675
3,OB,1982,930,3098,2745,399,778,137,23,57,1132,362,106,61,247,41,22,254,35,46,18,0.283,0.349,0.412,0.762,0.343,107.6,17.97,,156,32,4,80,56,24,10,0,725.1,318,258,3020,625,,,41,289,4,33,317,6,14,3.2,3.6,1.26,121.6,108.3,18.28,,1,80,56,24,0,0.7
4,해태,1982,873,2990,2665,374,696,110,14,84,1086,332,155,52,235,41,12,296,59,28,21,0.261,0.328,0.408,0.736,0.332,100.6,15.32,,154,24,2,80,38,42,3,0,708,388,298,3067,698,,,50,295,5,39,348,8,17,3.79,3.75,1.4,101.7,102.8,11.88,,4,80,38,42,0,0.475
5,롯데,1982,863,3062,2628,353,674,112,8,59,979,325,83,53,326,40,8,315,61,41,27,0.256,0.344,0.373,0.717,0.329,98.7,12.47,,169,26,4,80,33,48,3,0,713.2,385,313,3080,763,,,69,261,29,29,362,11,14,3.95,3.76,1.44,100.6,105.7,13.66,,5,80,31,49,0,0.388
6,삼미,1982,867,2954,2653,302,637,117,20,40,914,272,74,43,221,29,3,369,44,33,17,0.24,0.304,0.345,0.648,0.298,79,6.11,,200,7,0,80,15,65,5,0,701.2,574,479,3217,883,,,93,313,11,50,175,7,22,6.14,5.15,1.71,65.5,78.2,-0.16,,6,80,15,65,0,0.188
1,삼성,1983,1249,3847,3383,448,889,143,14,90,1330,421,70,42,314,55,9,427,62,66,27,0.263,0.333,0.393,0.726,0.332,110.3,23.31,,201,34,7,100,46,50,12,0,899.1,418,342,3785,833,,,65,335,15,58,399,3,17,3.42,3.37,1.3,97.8,99.3,15.08,,4,100,46,50,4,0.479
2,해태,1983,1124,3734,3340,423,892,130,15,78,1286,388,131,91,294,40,16,382,75,37,23,0.267,0.332,0.385,0.717,0.33,109.3,20.47,,212,27,10,100,55,44,14,0,852.2,390,311,3707,803,,,56,286,6,45,456,2,13,3.28,2.99,1.28,99.1,109,16.63,,1,100,55,44,1,0.556
3,MBC,1983,1149,3715,3273,405,837,145,21,45,1159,367,128,67,281,60,8,368,58,70,30,0.256,0.323,0.354,0.677,0.312,96.2,17.73,,190,31,6,100,55,43,17,0,909,335,275,3725,787,,,45,298,11,44,366,9,18,2.72,2.99,1.19,113.6,103.5,19.56,,2,100,55,43,2,0.561
4,OB,1983,1156,3766,3330,418,863,142,26,50,1207,378,60,45,279,50,11,352,63,89,18,0.259,0.324,0.362,0.687,0.314,97.8,17.17,,198,27,8,100,44,55,18,0,892.1,432,351,3789,897,,,81,315,10,62,329,8,17,3.54,3.73,1.36,92.5,87.7,10.6,,5,100,44,55,1,0.444
5,롯데,1983,1238,3740,3308,370,807,133,18,78,1210,342,76,61,308,39,2,423,71,58,24,0.244,0.314,0.366,0.68,0.313,97,16.34,,229,29,4,100,43,56,7,0,897.2,464,378,3827,935,,,90,260,12,47,414,6,17,3.79,3.42,1.33,87.1,96.4,11.95,,6,100,43,56,1,0.434
