No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary
2,양준혁,1997,삼,RF,126,561,442,94,145,32,5,30,277,98,25,17,103,7,27,75,7,0,8,.328,.455,.627,1.082,.457,189.3,8.17,,"12,000"
3,김기태,1997,쌍,1B,111,478,390,95,134,30,3,26,248,79,10,7,84,2,14,54,11,0,2,.344,.460,.636,1.096,.472,202.6,7.30,,"10,100"
4,최익성,1997,삼,CF,122,568,480,107,142,25,2,22,237,65,33,5,61,18,1,81,6,7,2,.296,.394,.494,.888,.395,148.0,7.10,,"3,000"
5,이승엽,1997,삼,1B,126,577,517,96,170,37,3,32,309,114,5,2,49,6,4,79,10,1,4,.329,.391,.598,.988,.432,172.3,6.78,,"6,500"
6,박재홍,1997,현,CF,96,403,331,77,108,16,0,27,205,69,22,14,66,4,10,59,5,0,2,.326,.442,.619,1.061,.458,193.7,6.65,,"5,000"
7,홍현우,1997,해,3B,126,534,436,73,118,29,0,22,213,79,20,9,86,7,11,80,19,0,5,.271,.395,.489,.884,.391,145.7,5.78,,"9,600"
8,이병규,1997,L,CF,126,550,495,82,151,31,8,7,219,69,23,5,43,8,3,50,6,1,3,.305,.368,.442,.810,.366,130.5,5.60,,"2,000"
9,신동주,1997,삼,LF,120,452,399,79,130,37,1,21,232,66,18,12,34,14,3,79,3,3,2,.326,.396,.581,.978,.428,169.7,5.46,,"3,850"
11,강석천,1997,한,3B,123,506,447,66,144,19,4,7,192,34,17,9,37,7,1,40,9,10,5,.322,.379,.430,.809,.362,126.6,4.47,,"6,000"
12,장종훈,1997,한,1B,121,499,427,74,125,27,1,22,220,76,15,8,63,4,8,76,9,0,5,.293,.385,.515,.900,.396,149.6,4.44,,"10,000"
13,유지현,1997,L,SS,125,569,479,78,129,24,2,3,166,45,44,11,61,13,3,62,11,11,5,.269,.364,.347,.710,.327,102.3,4.35,,"5,700"
15,김상호,1997,O,LF,96,393,343,45,108,24,3,11,171,52,4,2,42,4,5,71,7,1,3,.315,.393,.499,.891,.396,151.3,3.93,,"9,800"
16,이숭용,1997,현,1B,121,420,341,41,106,28,3,9,167,61,3,4,62,6,7,39,4,4,6,.311,.419,.490,.909,.400,153.1,3.80,,"6,300"
17,김동수,1997,L,C,121,472,394,54,93,26,0,17,170,66,2,2,54,9,4,70,6,7,8,.236,.336,.431,.767,.337,109.9,3.77,,"8,300"
18,최태원,1997,쌍,2B,126,558,477,68,146,30,1,2,184,39,3,9,51,6,0,49,4,21,2,.306,.379,.386,.765,.342,113.0,3.54,,"7,300"
19,심재학,1997,L,RF,117,478,411,54,117,23,1,15,187,84,5,2,54,2,2,51,8,0,10,.285,.363,.455,.818,.365,129.8,3.49,,"4,900"
20,김태균,1997,삼,SS,115,412,349,64,90,23,1,16,163,62,5,9,45,6,0,62,9,9,3,.258,.350,.467,.817,.359,123.6,3.44,,"3,500"
21,이호성,1997,해,LF,110,443,380,51,105,13,0,15,163,63,20,5,54,4,1,74,10,2,3,.276,.370,.429,.799,.363,126.8,3.29,,"7,000"
22,김한수,1997,삼,3B,124,524,466,57,136,27,1,9,192,68,9,9,36,7,4,79,6,13,2,.292,.350,.412,.762,.338,109.7,3.23,,"3,800"
23,정경배,1997,삼,2B,123,486,420,66,115,25,3,13,185,72,13,9,36,6,2,84,5,14,6,.274,.336,.440,.776,.335,107.6,3.07,,"2,800"
24,신국환,1997,L,2B,120,455,405,58,114,25,3,8,169,58,9,4,23,14,1,53,18,6,7,.281,.336,.417,.754,.337,109.4,3.01,,"2,500"
25,김민호,1997,O,SS,122,529,467,75,111,13,5,6,152,34,46,7,44,8,1,94,11,10,0,.238,.314,.325,.640,.294,78.9,2.90,,"6,200"
26,서용빈,1997,L,1B,120,459,399,51,126,25,6,4,175,69,4,6,38,7,6,45,5,8,7,.316,.379,.439,.818,.361,126.8,2.74,,"5,500"
27,마해영,1997,롯,1B,126,505,452,61,117,22,3,25,220,75,6,5,39,9,8,76,12,2,3,.259,.328,.487,.815,.355,121.4,2.67,,"5,900"
29,정수근,1997,O,CF,103,443,377,59,99,9,2,2,118,34,50,15,46,7,1,49,5,7,6,.263,.349,.313,.662,.309,89.6,2.45,,"4,600"
30,조원우,1997,쌍,LF,126,489,424,61,136,18,9,5,187,49,15,7,24,2,3,48,13,33,6,.321,.355,.441,.796,.333,106.8,2.41,,"4,200"
31,김대익,1997,롯,CF,122,412,356,47,97,22,3,6,143,35,13,14,40,2,1,73,2,10,4,.272,.346,.402,.748,.333,106.3,2.32,,"3,120"
32,백재호,1997,한,2B,110,402,338,42,82,12,1,16,144,55,2,3,41,6,0,66,5,12,5,.243,.331,.426,.757,.332,105.7,2.30,,"2,000"
33,심성보,1997,쌍,RF,118,435,390,52,105,23,3,15,179,73,5,6,30,6,4,65,12,2,6,.269,.326,.459,.785,.345,114.7,2.23,,"5,000"
34,최훈재,1997,해,1B,112,394,343,56,100,23,1,12,161,70,3,7,34,5,2,40,10,7,5,.292,.359,.469,.829,.364,127.4,2.17,,"4,100"
35,안경현,1997,O,3B,69,258,225,31,64,9,1,9,102,34,2,2,21,6,2,37,11,5,1,.284,.360,.453,.813,.359,125.3,2.07,,"5,200"
37,송지만,1997,한,RF,117,474,414,46,110,26,1,14,180,45,12,10,35,7,3,91,8,16,2,.266,.332,.435,.767,.333,106.4,1.94,,"4,000"
38,동봉철,1997,L,LF,122,428,363,64,95,17,4,5,135,29,25,10,42,7,0,51,4,13,2,.262,.348,.372,.720,.324,100.0,1.92,,"5,000"
39,김성래,1997,쌍,3B,99,325,266,27,68,14,0,9,109,45,0,1,34,8,3,53,10,9,8,.256,.348,.410,.758,.332,105.6,1.78,,"6,500"
40,이종민,1997,O,2B,118,281,247,28,75,13,1,3,99,30,7,6,18,3,0,29,9,10,3,.304,.354,.401,.755,.334,107.6,1.64,,"2,500"
41,김창희,1997,해,RF,102,350,315,41,83,20,1,9,132,43,2,2,27,5,2,50,7,2,1,.263,.331,.419,.750,.337,109.1,1.61,,"2,000"
42,임수혁,1997,롯,C,49,176,145,15,36,5,0,6,59,25,1,1,28,0,0,32,6,2,1,.248,.368,.407,.775,.353,120.0,1.56,,"6,000"
44,류중일,1997,삼,SS,79,248,215,34,52,13,0,8,89,34,1,3,23,2,0,43,4,8,0,.242,.321,.414,.735,.324,100.0,1.41,,"8,500"
46,김경기,1997,현,1B,91,366,311,36,79,21,0,6,118,51,6,4,42,7,1,55,15,2,4,.254,.352,.379,.731,.336,108.6,1.28,,"10,000"
47,김실,1997,쌍,CF,118,418,359,52,96,17,5,0,123,38,4,5,33,1,0,29,7,20,5,.267,.327,.343,.669,.296,80.8,1.25,,"6,500"
48,박재용,1997,해,,94,331,294,40,72,15,0,7,108,33,1,1,25,7,1,55,6,4,1,.245,.318,.367,.685,.312,92.1,1.25,,"4,800"
49,진갑용,1997,O,C,95,309,281,21,68,7,0,4,87,20,2,0,20,6,0,44,7,2,0,.242,.306,.310,.616,.289,75.3,1.23,,"2,000"
51,전준호,1997,현,LF,110,425,369,48,91,14,7,2,125,18,23,12,44,2,1,54,5,10,0,.247,.330,.339,.669,.305,87.1,1.09,,"7,000"
52,홍원기,1997,한,3B,90,281,253,21,67,13,1,4,94,30,1,1,18,2,1,47,3,7,1,.265,.318,.372,.689,.308,89.1,1.09,,"3,900"
53,정영규,1997,한,RF,113,374,324,34,76,17,3,8,123,30,1,5,34,10,4,77,5,3,3,.235,.324,.380,.703,.317,95.2,0.99,,"4,800"
54,김성현,1997,쌍,C,65,189,163,18,40,6,1,3,57,23,0,0,15,5,2,37,1,4,2,.245,.324,.350,.674,.303,85.6,0.99,,"6,200"
55,김태룡,1997,해,SS,55,71,62,12,19,2,0,5,36,9,3,1,6,1,0,17,2,1,0,.306,.377,.581,.958,.411,159.2,0.96,,"3,200"
56,김인호,1997,현,2B,56,226,189,29,47,7,1,1,59,11,9,6,24,7,1,36,3,6,0,.249,.355,.312,.667,.310,90.8,0.95,,"6,300"
57,김응국,1997,롯,LF,62,236,204,26,51,17,3,2,80,22,2,3,27,2,3,47,4,0,2,.250,.340,.392,.733,.330,104.2,0.95,,"10,000"
58,박철우,1997,쌍,DH,77,122,103,9,35,6,0,1,44,18,2,0,15,3,4,14,2,1,0,.340,.438,.427,.865,.390,146.2,0.94,,"4,100"
59,정경훈,1997,한,SS,54,69,57,17,18,3,1,1,26,6,13,6,10,0,0,13,0,2,0,.316,.418,.456,.874,.389,145.0,0.89,,"3,900"
60,문희성,1997,O,RF,94,196,172,25,43,7,0,6,68,34,1,1,15,7,0,36,4,1,1,.250,.333,.395,.729,.334,107.1,0.84,,"2,000"
61,심정수,1997,O,RF,40,145,122,17,30,5,0,5,50,22,2,1,22,0,2,27,1,0,1,.246,.359,.410,.769,.348,117.2,0.83,,"5,500"
62,최해식,1997,해,C,91,303,260,25,65,15,0,1,83,28,1,4,15,9,0,36,6,16,3,.250,.310,.319,.629,.280,70.0,0.82,,"4,800"
63,이호준,1997,해,DH,54,140,126,26,35,9,1,8,70,20,0,0,7,1,0,27,1,4,2,.278,.316,.556,.872,.368,130.2,0.82,,"1,800"
