No,Name,Year,Team,Position,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SAC,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,WAR,WPA,Salary,NextSalary
,°¡µæ¿°,2007,S,P,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,0.00,,"8,000","11,000"
106,°­°æÇÐ,2014,ÇÑ,SS,41,103,86,11,19,2,3,1,30,7,0,0,13,2,0,28,1,2,0,.221,.337,.349,.686,.316,65.6,0.21,-0.11,"2,400","6,500"
123,°­°æÇÐ,2015,ÇÑ,SS,120,376,311,50,80,7,4,2,101,27,4,3,40,5,1,58,3,18,3,.257,.348,.325,.673,.304,66.4,0.11,-0.32,"6,500","6,500"
370,°­°æÇÐ,2016,ÇÑ,SS,46,116,101,16,16,3,2,1,26,7,0,0,8,2,0,30,5,4,1,.158,.232,.257,.490,.223,10.5,-0.69,-1.10,"6,500","6,200"
315,°­°æÇÐ,2017,ÇÑ,2B,59,93,84,17,18,2,1,0,22,4,1,1,8,1,0,19,1,0,0,.214,.290,.262,.552,.264,44.1,-0.18,-0.81,"6,200","5,800"
257,°­±¸¼º,2015,N,,4,5,5,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,.200,.200,.400,.600,.254,35.3,-0.02,0.17,"2,700","2,700"
284,°­±¸¼º,2016,N,DH,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,.000,.000,.000,.000,.000,-133.8,-0.08,-0.00,"2,700","2,700"
71,°­±ÍÅÂ,2003,Çö,C,66,132,117,19,30,6,0,3,45,12,1,1,10,1,0,16,5,4,0,.256,.320,.385,.705,.313,82.7,0.62,,"3,000","4,000"
67,°­±ÍÅÂ,2004,Çö,C,84,159,141,10,40,6,1,4,60,21,1,2,9,1,0,32,1,4,4,.284,.323,.426,.748,.329,93.1,0.92,,"4,000","5,500"
36,°­±ÍÅÂ,2005,Çö,C,104,297,265,30,70,12,0,8,106,38,2,0,26,4,1,38,9,1,1,.264,.338,.400,.738,.339,104.0,2.18,,"5,500","6,300"
