Batter_Name,Age,G,PA,AB,R,H,1B,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,FBP,IBB,SO,GDP,SAC,SF,Year,Salary,WAR,Year_Born,Hand,CP,TP,AVG,OBP,SLG,OPS,P_Year,YAB,YOPS
백용환,24,26,58,52,4,9,5,4,0,0,13,3,0,0,6,0,6,0,16,3,0,0,2013,2500,-0.055,1989-03-20,우타우투,포수,포수,0.173,0.259,0.25,0.509,2014,79,0.58
백용환,25,47,86,79,8,14,8,2,0,4,28,10,0,0,5,0,5,0,28,1,2,0,2014,2900,-0.441,1989-03-20,우타우투,포수,포수,0.177,0.226,0.354,0.58,2015,154,0.784
백용환,26,65,177,154,22,36,20,6,0,10,72,30,3,1,19,1,20,0,47,5,0,3,2015,6000,0.783,1989-03-20,우타우투,포수,포수,0.234,0.316,0.468,0.784,2016,174,0.581
백용환,27,80,199,174,12,34,23,7,0,4,53,15,2,1,19,1,20,1,52,6,3,2,2016,6000,-0.405,1989-03-20,우타우투,포수,포수,0.195,0.276,0.305,0.581,2017,17,0.476
백용환,28,15,20,17,2,3,3,0,0,0,3,1,0,0,3,0,3,0,3,2,0,0,2017,5500,-0.13,1989-03-20,우타우투,포수,포수,0.176,0.3,0.176,0.476,2018,47,0.691
백용환,29,34,57,47,7,13,12,1,0,0,14,4,0,1,9,0,9,0,15,3,1,0,2018,5300,0.083,1989-03-20,우타우투,포수,포수,0.277,0.393,0.298,0.691,2019,47,0.698
신범수,20,19,26,25,0,4,1,2,1,0,8,4,0,0,0,0,0,0,7,1,0,1,2018,2900,-0.231,1998-01-25,좌타우투,포수,포수,0.16,0.154,0.32,0.474,2019,57,0.712
김민식,26,23,26,24,4,4,4,0,0,0,4,0,0,0,2,0,2,0,2,2,0,0,2015,3000,-0.187,1989-06-28,좌타우투,포수,포수,0.167,0.231,0.167,0.398,2016,144,0.72
김민식,27,88,170,144,17,37,26,9,0,2,52,14,1,1,21,2,23,0,38,2,3,0,2016,3000,0.729,1989-06-28,좌타우투,포수,포수,0.257,0.359,0.361,0.72,2017,352,0.576
김민식,28,137,392,352,39,78,63,9,2,4,103,40,3,3,26,5,31,0,55,8,7,2,2017,3000,-0.447,1989-06-28,좌타우투,포수,포수,0.222,0.283,0.293,0.576,2018,310,0.685
김민식,29,125,365,310,53,76,58,9,3,6,109,37,5,2,39,3,42,0,63,8,11,2,2018,15000,0.941,1989-06-28,좌타우투,포수,포수,0.245,0.333,0.352,0.685,2019,96,0.481
한승택,22,27,30,28,1,5,5,0,0,0,5,5,0,0,1,0,1,0,8,0,1,0,2016,2700,-0.258,1994-06-21,우타우투,포수,포수,0.179,0.207,0.179,0.386,2017,83,0.566
한승택,23,96,91,83,7,19,16,2,1,0,23,7,0,0,6,1,7,0,25,1,1,0,2017,3100,-0.14,1994-06-21,우타우투,포수,포수,0.229,0.289,0.277,0.566,2018,89,0.732
한승택,24,61,101,89,10,22,13,6,0,3,37,15,0,0,7,2,9,0,24,4,3,0,2018,7500,0.493,1994-06-21,우타우투,포수,포수,0.247,0.316,0.416,0.732,2019,251,0.602
황윤호,22,10,6,5,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,2015,2700,-0.02,1993-09-22,우타우투,2루수,2루수,0,0.167,0,0.167,2016,12,0.166
황윤호,23,33,12,12,7,1,1,0,0,0,1,2,1,0,0,0,0,0,5,0,0,0,2016,2700,-0.141,1993-09-22,우타우투,2루수,2루수,0.083,0.083,0.083,0.166,2017,15,0.502
황윤호,24,36,17,15,8,2,1,0,1,0,4,0,0,0,1,1,2,0,4,0,0,0,2017,3000,-0.124,1993-09-22,우타우투,2루수,2루수,0.133,0.235,0.267,0.502,2018,57,0.375
황윤호,25,82,62,57,11,9,8,1,0,0,10,4,2,2,0,3,3,0,6,2,2,0,2018,3100,-0.486,1993-09-22,우타우투,2루수,2루수,0.158,0.2,0.175,0.375,2019,123,0.724
김선빈,19,112,322,278,39,71,67,2,2,0,77,24,5,9,30,2,32,0,40,8,10,2,2008,2400,0.527,1989-12-18,우타우투,유격수,유격수,0.255,0.33,0.277,0.607,2009,116,0.742
김선빈,20,72,129,116,29,34,24,9,1,0,45,6,8,2,10,1,11,0,13,2,2,0,2009,3500,0.777,1989-12-18,우타우투,유격수,유격수,0.293,0.354,0.388,0.742,2010,348,0.715
김선빈,21,115,406,348,40,102,85,14,2,1,123,28,23,7,34,6,40,0,44,5,14,4,2010,4500,2.269,1989-12-18,우타우투,유격수,유격수,0.293,0.362,0.353,0.715,2011,335,0.753
